Nodes,Random_Graph_Seed,Node_Hash_Result,Elapsed_Node_Hash,Edge_Hash_Result,Elapsed_Edge_Hash
10,0.9293179010162546,False,0.0001810000003388268,False,0.00017799999977796688
20,0.7161885792710644,False,0.00032250000003841706,False,0.0008960999998635089
30,0.1685711265331299,False,0.0006796000002395886,False,0.0014934000000721426
40,0.1634854369458585,False,0.001380700000026991,False,0.003524400000060268
50,0.8093527955278637,False,0.0017616000000089116,False,0.0043773000002147455
60,0.05451052782145471,False,0.0026144999997086416,False,0.006459299999733048
70,0.6165060964817274,False,0.004384299999856012,False,0.011076799999955256
80,0.8656284750144192,False,0.005643199999667559,False,0.01506199999994351
90,0.5459094037061587,False,0.007185599999957049,False,0.019431300000178453
100,0.734833711106542,False,0.008745300000100542,False,0.024403399999755493
110,0.6524979422514258,False,0.010815499999807798,False,0.029988799999955518
120,0.12901054381522692,False,0.012329400000453461,False,0.03650969999989684
130,0.8343220689272474,False,0.014853000000130123,False,0.04369879999967452
140,0.19281968015979356,False,0.016862999999830208,False,0.05174649999980829
150,0.49532483904054914,False,0.020451100000173028,False,0.060661200000140525
160,0.6878785447141907,False,0.022026499999810767,False,0.06610700000010183
170,0.17368041005694035,False,0.02542540000013105,False,0.07452620000003662
180,0.3039351482934137,False,0.027758599999742728,False,0.08253679999961605
190,0.20572539949543933,False,0.03163990000030026,False,0.09577420000005077
200,0.8253925357029703,False,0.03525539999964167,False,0.1065588999999818
210,0.7079389765692039,False,0.03835079999998925,False,0.11201759999994465
220,0.39306248889807227,False,0.04257459999962521,False,0.1219307999999728
230,0.0867482101821575,False,0.04619169999978112,False,0.1333383999999569
240,0.1055616652234872,False,0.050611599999683676,False,0.14481120000027659
250,0.5191704659521397,False,0.0543921000003138,False,0.15741570000000138
260,0.2437134118394404,False,0.061640800000077434,False,0.17059800000015457
270,0.23302060773012467,False,0.062454600000364735,False,0.18746009999995294
280,0.6293599638949681,False,0.06816120000030423,False,0.20470220000015615
290,0.46673985545877306,False,0.07415750000018306,False,0.21603359999971872
300,0.177046435727499,False,0.07765659999995478,False,0.23487819999991189
310,0.2148848995370395,False,0.08240310000019235,False,0.25168559999974605
320,0.005168882456104029,False,0.08601580000004105,False,0.2771111000001838
330,0.35569112186398943,False,0.09266240000033577,False,0.29541470000003756
340,0.009510991392538304,False,0.09616000000005442,False,0.31497570000010455
350,0.4988493740566541,False,0.10433659999989686,False,0.34475830000019414
360,0.03595140248167328,False,0.11009960000001229,False,0.3618870000000243
370,0.893230496580475,False,0.11144089999970674,False,0.3991289999999026
380,0.9466637811483826,False,0.11647870000024341,False,0.4087254999999459
390,0.3839516465782101,False,0.12082809999992605,False,0.4342191999999159
400,0.9911521115152576,False,0.12714859999960026,False,0.4667746999998599
410,0.5516923997631744,False,0.13526450000017576,False,0.4958432999997058
420,0.9411317914804931,False,0.13982869999972536,False,0.5323241999999482
430,0.3855742494694311,False,0.14549890000034793,False,0.5598332999998092
440,0.6336537028805369,False,0.17709700000023076,False,0.5910791000001154
450,0.197040032218322,False,0.15699809999978243,False,0.6123612000001231
460,0.5116874400763047,False,0.1636287999999695,False,0.6592893000001823
470,0.3371012072189712,False,0.17403009999998176,False,0.6970907999998417
480,0.4006586342086689,False,0.17785420000018348,False,0.7267568000002029
490,0.4901813501185016,False,0.1834896000000299,False,0.7768010999998296
500,0.1696263744765122,False,0.19300819999989471,False,0.8051386000001912
510,0.5583247386549962,False,0.19730970000000525,False,0.8621917000000394
520,0.3609229609998996,False,0.20622430000003078,False,0.8959460999999465
530,0.6493701794297118,False,0.21245309999994788,False,0.9351486999998997
540,0.17015460793720028,False,0.2235806000003322,False,0.9670436999999765
550,0.845120037427644,False,0.2272917000000234,False,1.0268252000000757
560,0.9479404066439431,False,0.23873950000006516,False,1.0680701000001136
570,0.2486981744353879,False,0.2545618999997714,False,1.102125899999919
580,0.06814787109462972,False,0.25238519999993514,False,1.1670804000000317
590,0.8712009705464968,False,0.2736181000000215,False,1.218247799999972
600,0.05715518300482347,False,0.26694580000003043,False,1.2808285000000978
610,0.6940433124039215,False,0.27918810000028316,False,1.3215123999998468
620,0.5945323284474695,False,0.3074730000003001,False,1.376736300000175
630,0.1537585739225017,False,0.30367549999982657,False,1.4307877999999619
640,0.5503143845014743,False,0.31156300000020565,False,1.4996838000001844
650,0.11346121920046703,False,0.3192619999999806,False,1.5294746000004125
660,0.125104898703287,False,0.3235948000001372,False,1.6339078999999401
670,0.3149255066779144,False,0.33702069999981177,False,1.7496006999999736
680,0.853726554477231,False,0.35336450000022523,False,1.764838999999938
690,0.3653559310499367,False,0.3595976999999948,False,1.861490700000104
700,0.3669567524876205,False,0.3727707000002738,False,1.9080957000001035
710,0.07019985626658587,False,0.380959100000382,False,2.017424900000151
720,0.13769172839109134,False,0.3885830999997779,False,2.0466872000001786
730,0.23338467555258036,False,0.400500700000066,False,2.110411500000282
740,0.09936881236238959,False,0.41398049999997966,False,2.19634619999988
